StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,2FTraffic,2FConversion,normal_vacation,special_vacation,consistent_vacation
1010106,2017/3/16,Thursday,0,130,2295,0.057,Cloudy,39498,21,0.162,1881,2.19,0.655,18.4,303.8307692,0.272,62,4,105,0.808,0,0,0
1010106,2017/3/17,Friday,0,251,4115,0.061,Cloudy,57193,33,0.131,1733,1.94,0.573,12.1,227.8605578,0.214,66,5,170,0.677,0,0,0
1010106,2017/3/18,Saturday,0,509,7410,0.069,Cloudy,74837,47,0.092,1592,1.94,0.512,12.7,147.0275049,0.111,70,6,261,0.513,1,0,0
1010106,2017/3/19,Sunday,0,511,6630,0.077,Cloudy,85522,53,0.104,1614,2.17,0.531,10.8,167.3620352,0.137,68,7,267,0.523,1,0,0
1010106,2017/3/20,Monday,0,172,2873,0.06,Cloudy,41400,23,0.134,1800,2,0.537,16.5,240.6976744,0.256,75,1,98,0.57,0,0,0
1010106,2017/3/21,Tuesday,0,168,2995,0.056,Rain,39690,25,0.149,1588,1.92,0.57,14.7,236.25,0.255,64,2,121,0.72,0,0,0
1010106,2017/3/22,Wednesday,0,215,3132,0.069,Cloudy,31596,15,0.07,2106,2.6,0.569,15.2,146.9581395,0.242,74,3,164,0.763,0,0,0
1010106,2017/3/23,Thursday,0,186,3133,0.059,Cloudy,31039,16,0.086,1940,2.25,0.538,13.9,166.8763441,0.243,72,4,131,0.704,0,0,0
1010106,2017/3/24,Friday,0,266,4148,0.064,Cloudy,45588,29,0.109,1572,1.69,0.53,14.5,171.3834586,0.223,72,5,136,0.511,0,0,0
1010106,2017/3/25,Saturday,0,433,4781,0.091,Rain,80939,48,0.111,1686,1.56,0.517,12.8,186.926097,0.128,60,6,216,0.499,1,0,0
1010106,2017/3/26,Sunday,0,499,5247,0.095,Cloudy,98773,55,0.11,1796,1.78,0.542,13.5,197.9418838,0.145,59,7,269,0.539,1,0,0
1010106,2017/3/27,Monday,0,185,2923,0.063,Cloudy,38527,24,0.13,1605,1.42,0.516,14.7,208.2540541,0.258,78,1,169,0.914,0,0,0
1010106,2017/3/28,Tuesday,0,160,3244,0.049,Cloudy,62109,30,0.188,2070,2.17,0.515,12.8,388.18125,0.263,78,2,127,0.794,0,0,0
1010106,2017/3/29,Wednesday,0,209,3501,0.06,Cloudy,29906,16,0.077,1869,2.19,0.492,12.2,143.0909091,0.251,78,3,120,0.574,0,0,0
1010106,2017/3/30,Thursday,0,210,3319,0.063,Cloudy,36332,21,0.1,1730,1.71,0.534,13.7,173.0095238,0.265,78,4,147,0.7,0,0,0
1010106,2017/3/31,Friday,0,170,2543,0.067,Rain,42433,18,0.106,2357,2.78,0.552,11.3,249.6058824,0.276,63,5,133,0.782,0,0,0
1010106,2017/4/1,Saturday,0,612,6028,0.102,Cloudy,88871,36,0.059,2469,2.83,0.515,11.8,145.2140523,0.148,62,6,287,0.469,1,0,1
1010106,2017/4/2,Sunday,0,533,6452,0.083,Sunny,85018,46,0.086,1848,1.98,0.52,10.3,159.5084428,0.123,67,7,183,0.343,1,0,1
1010106,2017/4/3,Monday,0,498,6431,0.077,Sunny,92528,48,0.096,1928,2.5,0.534,10.1,185.7991968,0.134,72,1,224,0.45,0,0,1
1010106,2017/4/4,Tuesday,0,445,5954,0.075,Sunny,89191,48,0.108,1858,2.19,0.534,10.2,200.4292135,0.155,76,2,255,0.573,0,0,1
1010106,2017/4/5,Wednesday,0,163,3208,0.051,Sunny,32569,17,0.104,1916,1.76,0.558,11.3,199.809816,0.28,79,3,130,0.798,0,0,0
1010106,2017/4/6,Thursday,0,149,3008,0.05,Cloudy,24859,14,0.094,1776,1.43,0.535,12.5,166.8389262,0.31,76,4,113,0.758,0,0,0
1010106,2017/4/7,Friday,0,233,3698,0.063,Rain,50312,30,0.129,1677,1.73,0.481,11.9,215.9313305,0.274,79,5,146,0.627,0,0,0
1010106,2017/4/8,Saturday,0,580,6564,0.088,Cloudy,86315,47,0.081,1836,2.04,0.515,9.9,148.8189655,0.182,83,6,302,0.521,1,0,0
1010106,2017/4/9,Sunday,0,563,6289,0.09,Cloudy,125970,55,0.098,2290,2.18,0.523,9.9,223.7477798,0.182,83,7,285,0.506,1,0,0
1010106,2017/4/10,Monday,0,155,2840,0.055,Sunny,55496,23,0.148,2413,2.35,0.525,12.2,358.0387097,0.33,89,1,133,0.858,0,0,0
1010106,2017/4/11,Tuesday,0,137,2411,0.057,Rain,39397,19,0.139,2074,2,0.53,13.9,287.5693431,0.317,66,2,105,0.766,0,0,0
1010106,2017/4/12,Wednesday,0,150,2432,0.062,Rain,21492,13,0.087,1653,1.92,0.52,14,143.28,0.309,64,3,124,0.827,0,0,0
1010106,2017/4/13,Thursday,0,122,2151,0.057,Cloudy,19223,12,0.098,1602,1.42,0.534,11.2,157.5655738,0.283,69,4,87,0.713,0,0,0
1010106,2017/4/14,Friday,0,244,3679,0.066,Cloudy,40378,20,0.082,2019,1.7,0.556,12.8,165.4836066,0.269,71,5,127,0.52,0,0,0
1010106,2017/4/15,Saturday,0,589,6347,0.093,Cloudy,114610,51,0.087,2247,2.2,0.558,12.9,194.5840407,0.182,80,6,305,0.518,1,0,0
1010106,2017/4/16,Sunday,0,439,5847,0.075,Cloudy,99914,48,0.109,2082,1.88,0.578,12.4,227.594533,0.193,83,7,219,0.499,1,0,0
1010106,2017/4/17,Monday,0,153,2752,0.056,Cloudy,41037,24,0.157,1710,1.63,0.536,13,268.2156863,0.298,88,1,101,0.66,0,0,0
1010106,2017/4/18,Tuesday,0,181,2624,0.069,Rain,36607,20,0.11,1830,1.6,0.519,13.6,202.2486188,0.302,80,2,128,0.707,0,0,0
1010106,2017/4/19,Wednesday,0,144,2295,0.063,Thunderstorms,29058,13,0.09,2235,1.62,0.537,13.5,201.7916667,0.331,79,3,123,0.854,0,0,0
